,product_code,state,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,market_bid_size,market_ask_size,ltp,volume,volume_by_product,datetime
268236,ETH_JPY,RUNNING,2022-02-23T21:31:08.18,37497346.0,302732.0,302962.0,0.13,1.09,4017.2106915,2494.037967,0.0,0.0,302732.0,13901.2057626,13901.2057626,2022-02-23 21:31:08.180000+00:00
268237,ETH_JPY,RUNNING,2022-02-23T21:31:08.18,37497346.0,302732.0,302962.0,0.13,1.09,4017.2106915,2494.037967,0.0,0.0,302732.0,13901.2057626,13901.2057626,2022-02-23 21:31:08.180000+00:00
268238,ETH_JPY,RUNNING,2022-02-23T21:31:08.18,37497346.0,302732.0,302962.0,0.13,1.09,4017.2106915,2494.037967,0.0,0.0,302732.0,13901.2057626,13901.2057626,2022-02-23 21:31:08.180000+00:00
268239,ETH_JPY,RUNNING,2022-02-23T21:31:08.18,37497346.0,302732.0,302962.0,0.13,1.09,4017.2106915,2494.037967,0.0,0.0,302732.0,13901.2057626,13901.2057626,2022-02-23 21:31:08.180000+00:00
268240,ETH_JPY,RUNNING,2022-02-23T21:31:11.197,37497351.0,302732.0,302962.0,0.13,1.08,4023.8956915,2500.712967,0.0,0.0,302962.0,13901.2157626,13901.2157626,2022-02-23 21:31:11.197000+00:00
268241,ETH_JPY,RUNNING,2022-02-23T21:31:11.713,37497354.0,302735.0,302959.0,0.2,0.24,4024.2956915,2500.952967,0.0,0.0,302962.0,13901.2157626,13901.2157626,2022-02-23 21:31:11.713000+00:00
268242,ETH_JPY,RUNNING,2022-02-23T21:31:12.467,37497358.0,302735.0,302959.0,0.2,0.24,4024.2956915,2500.9375471,0.0,0.0,302962.0,13901.2157626,13901.2157626,2022-02-23 21:31:12.467000+00:00
268243,ETH_JPY,RUNNING,2022-02-23T21:31:12.977,37497359.0,302735.0,302959.0,0.75,0.24,4024.8456915,2500.9375471,0.0,0.0,302962.0,13901.2157626,13901.2157626,2022-02-23 21:31:12.977000+00:00
268244,ETH_JPY,RUNNING,2022-02-23T21:31:13.6,37497360.0,302735.0,302959.0,0.75,0.24,4024.7156915,2500.9375471,0.0,0.0,302962.0,13901.2157626,13901.2157626,2022-02-23 21:31:13.600000+00:00
268245,ETH_JPY,RUNNING,2022-02-23T21:31:13.6,37497360.0,302735.0,302959.0,0.75,0.24,4024.7156915,2500.9375471,0.0,0.0,302962.0,13901.2157626,13901.2157626,2022-02-23 21:31:13.600000+00:00
268246,ETH_JPY,RUNNING,2022-02-23T21:31:14.923,37497362.0,302735.0,302959.0,0.75,0.24,4024.7156915,2500.9375471,0.0,0.0,302962.0,13901.2157626,13901.2157626,2022-02-23 21:31:14.923000+00:00
268247,ETH_JPY,RUNNING,2022-02-23T21:31:14.923,37497362.0,302735.0,302959.0,0.75,0.24,4024.7156915,2500.9375471,0.0,0.0,302962.0,13901.2157626,13901.2157626,2022-02-23 21:31:14.923000+00:00
268248,ETH_JPY,RUNNING,2022-02-23T21:31:15.953,37497368.0,302735.0,302959.0,0.75,0.24,4024.7156915,2500.9375471,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:15.953000+00:00
268249,ETH_JPY,RUNNING,2022-02-23T21:31:16.44,37497370.0,302735.0,302959.0,0.75,0.24,4018.0306915,2494.2525471,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:16.440000+00:00
268250,ETH_JPY,RUNNING,2022-02-23T21:31:17.62,37497379.0,302735.0,302959.0,0.75,0.24,4024.7156915,2512.9375471,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:17.620000+00:00
268251,ETH_JPY,RUNNING,2022-02-23T21:31:18.27,37497388.0,302735.0,302959.0,0.75,0.24,4018.0306915,2512.9375471,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:18.270000+00:00
268252,ETH_JPY,RUNNING,2022-02-23T21:31:18.673,37497391.0,302735.0,302959.0,0.75,0.24,4018.0306915,2506.2525471,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:18.673000+00:00
268253,ETH_JPY,RUNNING,2022-02-23T21:31:19.117,37497395.0,302735.0,302959.0,0.75,0.24,4018.0306915,2506.2525471,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:19.117000+00:00
268254,ETH_JPY,RUNNING,2022-02-23T21:31:19.257,37497397.0,302735.0,302959.0,0.75,0.24,4018.0306915,2506.2525471,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:19.257000+00:00
268255,ETH_JPY,RUNNING,2022-02-23T21:31:20.583,37497417.0,302735.0,302959.0,0.75,0.24,4024.7156915,2512.9375471,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:20.583000+00:00
268256,ETH_JPY,RUNNING,2022-02-23T21:31:20.583,37497417.0,302735.0,302959.0,0.75,0.24,4024.7156915,2512.9375471,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:20.583000+00:00
268257,ETH_JPY,RUNNING,2022-02-23T21:31:21.82,37497431.0,302735.0,302941.0,0.75,1.07,4024.7156915,2502.0075471,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:21.820000+00:00
268258,ETH_JPY,RUNNING,2022-02-23T21:31:22.653,37497442.0,302735.0,302940.0,0.75,0.2,4024.7156915,2513.5250045,0.0,0.0,302962.0,13901.2057626,13901.2057626,2022-02-23 21:31:22.653000+00:00
